angular_velocity,sin,cos,epoch
2.729981839141293332e-01,1.153747661299446559e-02,-1.275225570281496301e-02,1.784447909652998209e+09
2.720352539391261981e-01,1.153324565247386413e-02,-1.277763978335205719e-02,1.784447909685998201e+09
2.710867942686296939e-01,1.152929399116102427e-02,-1.280252807280451988e-02,1.784447909718998194e+09
2.701525765147072544e-01,1.152560830879549580e-02,-1.282692856597716924e-02,1.784447909751998186e+09
2.692323761701265195e-01,1.152217580932683727e-02,-1.285084926741636435e-02,1.784447909784998178e+09
2.683259725391200501e-01,1.151898420359868946e-02,-1.287429818143753790e-02,1.784447909817998171e+09
2.674331486692300697e-01,1.151602169248049090e-02,-1.289728330280642821e-02,1.784447909850998163e+09
2.665536912843469164e-01,1.151327695045394062e-02,-1.291981260803670706e-02,1.784447909883998156e+09
2.656873907187138339e-01,1.151073910963289204e-02,-1.294189404726847625e-02,1.784447909916998148e+09
2.648340408520686307e-01,1.150839774421667794e-02,-1.296353553670454017e-02,1.784447909949998140e+09
2.639934390459790503e-01,1.150624285536265556e-02,-1.298474495158846720e-02,1.784447909982998133e+09
2.631653860808602641e-01,1.150426485649573560e-02,-1.300553011967647832e-02,1.784447910015998125e+09
2.623496860945271347e-01,1.150245455899449876e-02,-1.302589881519428117e-02,1.784447910048998117e+09
2.615461465214854453e-01,1.150080315831074340e-02,-1.304585875325398048e-02,1.784447910081998110e+09
2.607545780332463092e-01,1.149930222046917361e-02,-1.306541758470797232e-02,1.784447910114998102e+09
2.599747944798342925e-01,1.149794366895788567e-02,-1.308458289141140041e-02,1.784447910147998095e+09
2.592066128324892471e-01,1.149671977199544226e-02,-1.310336218187896362e-02,1.784447910180998087e+09
2.584498531265955190e-01,1.149562313017808701e-02,-1.312176288731831120e-02,1.784447910213998079e+09
2.577043384067712051e-01,1.149464666448223038e-02,-1.313979235800805112e-02,1.784447910246998072e+09
2.569698946717300370e-01,1.149378360462575965e-02,-1.315745786001681905e-02,1.784447910279998064e+09
2.562463508211896279e-01,1.149302747779172573e-02,-1.317476657224386782e-02,1.784447910312998056e+09
2.555335386031776235e-01,1.149237209767532686e-02,-1.319172558374742676e-02,1.784447910345998049e+09
