epoch,velocity,sin,cos
1784623580.4539968967,-12.6220392686,1.0058254611,0.0092228394
1784623580.4869968891,-10.0051891915,0.9323202068,0.3760843908
1784623580.5199968815,-7.3070372711,0.7876529202,0.6219576450
1784623580.5529968739,-4.9760918218,0.6464266417,0.7659666428
1784623580.5859968662,-3.1822490676,0.5385232587,0.8441543045
1784623580.6189968586,-1.9077822855,0.4665523625,0.8849580820
1784623580.6519968510,-1.0494011682,0.4234195426,0.9056766322
1784623580.6849968433,-0.4893279487,0.4008063228,0.9155343970
1784623580.7179968357,-0.1264298543,0.3919515605,0.9191774547
1784623580.7509968281,0.1166119667,0.3921870568,0.9189583279
1784623580.7839968204,0.2956490236,0.3987146460,0.9160546656
1784623580.8169968128,0.4504040262,0.4101696659,0.9109334899
1784623580.8499968052,0.6103116258,0.4262201578,0.9035391990
1784623580.8829967976,0.7998055106,0.4472979214,0.8933545524
1784623580.9159967899,1.0427982323,0.4744557637,0.8793546590
1784623580.9489967823,1.3666357433,0.5093052462,0.8598350398
1784623580.9819967747,1.8059221435,0.5539665115,0.8320589222
1784623581.0149967670,2.4065097888,0.6109089342,0.7916451148
1784623581.0479967594,3.2294476230,0.6824290679,0.7315765109
1784623581.0809967518,4.3534622692,0.7692129179,0.6407610432
1784623581.1139967442,5.8712909617,0.8668643141,0.5024632234
1784623581.1469967365,7.8676589284,0.9586003439,0.2944015504
1784623581.1799967289,10.3536148815,1.0031911630,-0.0037640077
1784623581.2129967213,13.1289484819,0.9257115286,-0.3844572615
1784623581.2459967136,15.6098955721,0.6417331447,-0.7665429712
1784623581.2789967060,16.8331992494,0.1493824201,-0.9855470238
1784623581.3119966984,16.0043430532,-0.3922054665,-0.9151613719
1784623581.3449966908,13.2665740337,-0.7783466309,-0.6213808446
1784623581.3779966831,9.6051453569,-0.9540739199,-0.2879813389
1784623581.4109966755,6.0601911785,-0.9965150329,-0.0347892606
